profile_code,profile_name,profile_description,source_category_fields_available,matched_keywords,initial_group,confidence,reason,filter_tier,filter_reason,profile_family,recommended_use
43303C,Coal-Fired Power Utility Fly Ash (Srm 1633),Fly ash taken from several power plant control systems. Not representative of stack emissions.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite; industrial/reference proxy,coal,drop_from_v0
4337,Cooking,Emissions from cooking chicken on an underfired charcoal charbroiler were collected in a fume hood at the University of California–Riverside’s CE-CERT facility on 02/23/00.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,cooking,drop_from_v0
4338,Cooking,Emissions from cooking chicken on an underfired charcoal charbroiler were collected in a fume hood at the University of California–Riverside’s CE-CERT facility on 02/23/00.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,cooking,drop_from_v0
4343,Cooking,Emissions from cooking hamburger on an underfired charcoal charbroiler were collected in a fume hood at the University of California–Riverside’s CE-CERT facility on 02/24/00.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,cooking,drop_from_v0
4344,Cooking,Emissions from cooking hamburger on an underfired charcoal charbroiler were collected in a fume hood at the University of California–Riverside’s CE-CERT facility on 02/24/00.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,cooking,drop_from_v0
4367,Coal Combustion,"Composite of five profiles of stack emissions from coal-fired boiler #1 (BVCOAL01, BVCOAL02, BVCOAL03, BVCOAL04, and BVCOAL05).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
4368,Coal Combustion,"Composite of four profiles of stack emissions from coal-fired boiler #2 (BVCOAL06, BVCOAL07, BVCOAL24, and BVCOAL25).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
4369,Coal Combustion,"Composite of four profiles of stack emissions from coal-fired boiler #2 (BVCOAL08, BVCOAL09, BVCOAL10, and BVCOAL26).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
4370,Coal Combustion,"Composite of six profiles of stack emissions from coal-fired boiler #4 (BVCOAL11, BVCOAL12, BVCOAL13, BVCOAL14, BVCOAL15, and BVCOAL16).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
4371,Coal Combustion,"Composite of five profiles of stack emissions from coal-fired boiler #3 (BVCOAL17, BVCOAL18, BVCOAL19, BVCOAL20, and BVCOAL21).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
4373,Coal Combustion,"Composite of 26 profiles of stack emissions from coal-fired boilers in Texas (BVCOAL01, BVCOAL02, BVCOAL03, BVCOAL04, BVCOAL05, BVCOAL06, BVCOAL07, BVCOAL08, BVCOAL09, BVCOAL10, BVCOAL11, BVCOAL12, BVCOAL13, BVCOAL14, BVCOAL15, BVCOAL16, BVCOAL17, BVCOAL18, BVCOAL19, BVCOAL20, BVCOAL21, BVCOAL22, BVCOAL23, BVCOAL24, BVCOAL25, and BVCOAL26).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),A_core_v0,transport exhaust; coal/lignite,coal combustion,keep_for_v0_source_set
4374,Fly Ash,"Composite of three profiles of resuspended coal fly ash from coal-fired boilers in Texas (BVCLFA01, BVCLFA02, and BVCLFA03).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,fly ash,drop_from_v0
4380,Cooking,Composite of two profiles of emissions from cooking chicken on an underfired charcoal charbroiler (CHACKN01 and CHACKN02).,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,cooking,drop_from_v0
4382,Cooking,Composite of two profiles of emissions from cooking hamburger on an underfired charcoal charbroiler (CHAHAM01 and CHAHAM02).,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,cooking,drop_from_v0
4383,Cooking,"Composite of 12 profiles of cooking emissions (SMOCKN01, SMOCKN02, SMOCKN03, CHACKN01, CHACKN02, PROCKN01, PROCKN02, PROCKN03, PROCKN04, CHAHAM01, CHAHAM02, and STIFRY01).",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),C_drop,coal/lignite,cooking,drop_from_v0
5682,Bituminous Coal-Fired Power Plant,No EC/OC measurements.,profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,bituminous coal,keep_as_reference_or_later
6100,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0135110000-02535, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6101,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 10673, Unit No. AB. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6102,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0013070000-06469, Unit No. B1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6103,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous/Petroleum Coke, Plant ID: 0137560000-00995, Unit No. 7 and 8. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6104,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0137810000-03982, Unit No. 5. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6105,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0184540000-00645, Unit No. BB03. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6106,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0443720000-03497, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6107,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0134330000-01619, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6108,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0134330000-01619, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6109,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0147160000-06094, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6110,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0001890000-00056, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6111,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0008030000-00113, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6112,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0008030000-00113, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6113,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0126470000-01893, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6114,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0126470000-01893, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6115,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0126470000-01893, Unit No. 4. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6116,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0054160000-02721, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6117,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous/Bituminous, Plant ID: 0092690000-00983, Unit No. 6. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6118,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0198760000-07213, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6119,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0128250000-06076, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6120,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0208560000-08023, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6121,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0154660000-00470, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6122,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0615720000-06177, Unit No. U1B. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6123,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0128190000-08222, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6124,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0301510000-06021, Unit No. C1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6125,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0301510000-06021, Unit No. C3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6126,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0135730000-02554, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6127,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 10384, Unit No. 2B. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6128,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0001950000-00026, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6129,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0123410000-07343, Unit No. 4. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6130,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0154700000-06113, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6131,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0154700000-06113, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6132,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous/Bituminous, Plant ID: 0074900000-00165, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6133,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0112080000-06481, Unit No. 2SGA. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6134,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0126860000-02049, Unit No. 4. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6135,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0143540000-08066, Unit No. BW 74. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6136,Coal-Fired Power Plant,"Average of three tests.  Coal type - Waste Anthracite, Plant ID: 50039, Unit No. GEN1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6137,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0100000000-01241, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6138,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0013070000-06204, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6139,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0013070000-06204, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6140,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0002250000-01250, Unit No. 4. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6141,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0013070000-02817, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6142,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0128190000-06089, Unit No. B1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6143,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0089010000-00298, Unit No. LIM1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6144,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 10043, Unit No. Gen 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6145,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 52007, Unit No. GEN 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6146,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous/Bituminous, Plant ID: 0194360000-02104, Unit No. 4. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6147,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0443720000-06147, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6148,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0443720000-06147, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6149,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0100000000-02080, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6150,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0165720000-04941, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6151,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous/Petroleum Coke, Plant ID: 0208560000-04054, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6152,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0032530000-06017, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6153,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0137810000-06090, Unit No. #3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6154,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0406060000-00059, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6155,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0184540000-07242, Unit No. 1. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6156,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0208470000-04040, Unit No. 4. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6157,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous/Petroleum Coke, Plant ID: 0208470000-01769, Unit No. 5. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6158,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous/Petroleum Coke, Plant ID: 0208470000-01769, Unit No. 6. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6159,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0208470000-01769, Unit No. 9. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6160,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0175680000-06061, Unit No. 2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6161,Coal-Fired Power Plant,"Average of three tests.  Coal type - Lignite, Plant ID: 0128190000-02790, Unit No. B2. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal; lignite,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6162,Coal-Fired Power Plant,"Average of three tests.  Coal type - Subbituminous, Plant ID: 0151430000-06761, Unit No. 101. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
6163,Coal-Fired Power Plant,"Average of three tests.  Coal type - Bituminous, Plant ID: 0134330000-01626, Unit No. 3. Total Mercury = particle bound mercury + oxidized mercury + elemental mercury",profile name; profile notes; category level 1; category level 2; category level 3; keywords,coal,coal,high,explicit source match in category field(s),B_reference_later,coal/lignite; industrial/reference proxy,coal,keep_as_reference_or_later
