filter_tier,initial_group,profile_family,rows,example_profile_name,reasons
C_drop,wood/biomass,pulp and paper mills,3,Pulp and Paper Mills - Wood-Fired Boilers,weak/false positive
C_drop,coal,industrial fly ash,2,Industrial Fly Ash,coal/lignite; industrial/reference proxy
C_drop,coal,"subbituminous coal/bituminous coal, pc boiler with esp",2,"Subbituminous Coal/Bituminous Coal, PC Boiler with ESP-CS",coal/lignite
C_drop,waste/open burning,automotive tires,2,Automotive Tires - Tuber Adhesive,waste/open burning
C_drop,waste/open burning,composite,2,Composite - Tire Dust,waste/open burning
C_drop,waste/open burning,draft tire dust,2,Draft Tire Dust - Composite,waste/open burning
C_drop,waste/open burning,plastics production,2,Plastics Production - Polystyrene,waste/open burning
C_drop,wood/biomass,draft prescribed burning,2,Draft Prescribed Burning - Composite,weak/false positive
C_drop,wood/biomass,draft wood product drying,2,Draft Wood Product Drying - Composite,weak/false positive
C_drop,wood/biomass,draft wood product sawing,2,Draft Wood Product Sawing - Composite,weak/false positive
C_drop,wood/biomass,oil and gas production,2,"Oil and Gas Production - Untreated Natural Gas, Uinta Basin–Operator 14",weak/false positive
C_drop,wood/biomass,wood,2,Wood-fired Industrial Boiler - NWWAS,weak/false positive
C_drop,coal,asphalt roofing tar kettle,1,Asphalt Roofing Tar Kettle,coal/lignite
C_drop,coal,"bituminous coal and pet. coke, pc boiler with esp",1,"Bituminous Coal and Pet. Coke, PC Boiler with ESP-CS",coal/lignite
C_drop,coal,"bituminous coal, coal gasification",1,"Bituminous Coal, Coal Gasification",coal/lignite
C_drop,coal,"bituminous coal, cyclone boiler with mechanical collector",1,"Bituminous Coal, Cyclone Boiler with Mechanical Collector",coal/lignite
C_drop,coal,"bituminous coal, pc boiler with dry sorbent injection and esp",1,"Bituminous Coal, PC Boiler with Dry Sorbent Injection and ESP-CS",coal/lignite
C_drop,coal,"bituminous coal, pc boiler with ff baghouse",1,"Bituminous Coal, PC Boiler with FF Baghouse",coal/lignite
C_drop,coal,"bituminous coal, pc boiler with ff baghouse and wet fgd",1,"Bituminous Coal, PC Boiler with FF Baghouse and Wet FGD",coal/lignite
C_drop,coal,"bituminous coal, pc boiler with pm scrubber",1,"Bituminous Coal, PC Boiler with PM Scrubber",coal/lignite
C_drop,coal,"bituminous coal, pc boiler with scr and sda/ff baghouse",1,"Bituminous Coal, PC Boiler with SCR and SDA/FF Baghouse",coal/lignite
C_drop,coal,"bituminous coal, pc boiler with sda/ff baghouse",1,"Bituminous Coal, PC Boiler with SDA/FF Baghouse",coal/lignite
C_drop,coal,"bituminous coal, pc boiler with sncr and esp",1,"Bituminous Coal, PC Boiler with SNCR and ESP-CS",coal/lignite
C_drop,coal,"bituminous coal, stoker boiler with sda/ff baghouse",1,"Bituminous Coal, Stoker Boiler with SDA/FF Baghouse",coal/lignite
C_drop,coal,"bituminous coal/pet. coke, cyclone with esp",1,"Bituminous Coal/Pet. Coke, Cyclone with ESP-CS and Wet FGD",coal/lignite
C_drop,coal,"bituminous coal/pet. coke, pc boiler with ff baghouse",1,"Bituminous Coal/Pet. Coke, PC Boiler with FF Baghouse",coal/lignite
C_drop,coal,"bituminous coal/subbituminous coal, pc boiler with ff baghouse",1,"Bituminous Coal/Subbituminous Coal, PC Boiler with FF Baghouse",coal/lignite
C_drop,coal,coal bed methane produced water profile,1,Coal Bed Methane Produced Water Profile - WY ponds,coal/lignite
C_drop,coal,cons prd,1,CONS PRD- CHARCOAL LIGHTER MATERIAL (2010 UPDATE),coal/lignite
C_drop,coal,consumer products: charcoal lighter materials,1,Consumer Products: Charcoal Lighter Materials,coal/lignite
C_drop,coal,draft charcoal manufacturing,1,Draft Charcoal Manufacturing - Simplified,coal/lignite
C_drop,coal,"lignite coal, cyclone boiler with esp",1,"Lignite Coal, Cyclone Boiler with ESP-CS",coal/lignite
C_drop,coal,"lignite coal, cyclone boiler with sda/ff baghouse",1,"Lignite Coal, Cyclone Boiler with SDA/FF Baghouse",coal/lignite
C_drop,coal,"lignite coal, pc boiler with pm scrubber",1,"Lignite Coal, PC Boiler with PM Scrubber",coal/lignite
C_drop,coal,"lignite coal, pc boiler with sda/ff baghouse",1,"Lignite Coal, PC Boiler with SDA/FF Baghouse",coal/lignite
C_drop,coal,"subbituminous coal, cyclone boiler with pm scrubber",1,"Subbituminous Coal, Cyclone Boiler with PM Scrubber",coal/lignite
C_drop,coal,"subbituminous coal, pc boiler with ff baghouse",1,"Subbituminous Coal, PC Boiler with FF Baghouse",coal/lignite
C_drop,coal,"subbituminous coal, pc boiler with pm scrubber",1,"Subbituminous Coal, PC Boiler with PM Scrubber",coal/lignite
C_drop,coal,"subbituminous coal, pc boiler with sda/esp",1,"Subbituminous Coal, PC Boiler with SDA/ESP",coal/lignite
C_drop,coal,"subbituminous coal, pc boiler with sda/ff baghouse",1,"Subbituminous Coal, PC Boiler with SDA/FF Baghouse",coal/lignite
C_drop,coal,"subbituminous coal/pet. coke, cyclone boiler with esp",1,"Subbituminous Coal/Pet. Coke, Cyclone Boiler with ESP-HS",coal/lignite
C_drop,fuel oil/diesel,paved road dust,1,Paved Road Dust,fuel oil; transport exhaust
C_drop,waste/open burning,composite tire wear,1,Composite Tire Wear,waste/open burning
C_drop,waste/open burning,methyl styrene,1,Methyl Styrene,waste/open burning
C_drop,waste/open burning,oil and natural gas production,1,Oil and Natural Gas Production - Produced Water Pond,waste/open burning
C_drop,waste/open burning,pulp and paper mills,1,Pulp and Paper Mills - Kraft Lime Kilns with Wet Scrubbers,industrial/reference proxy; waste/open burning
C_drop,waste/open burning,rubber and miscellaneous plastics products,1,"Rubber and Miscellaneous Plastics Products - Fabricated Rubber Products - Styrene/Butadiene, Rubber",waste/open burning
C_drop,wood/biomass,clear wood finishes,1,Clear Wood Finishes - 1996,weak/false positive
C_drop,wood/biomass,cons prd,1,CONS PRD- FLOOR POLISH OR WAX - WOOD (2010 UPDATE),weak/false positive
C_drop,wood/biomass,consumer products: wood fillers,1,Consumer Products: Wood Fillers,weak/false positive
C_drop,wood/biomass,consumer products: wood floor wax/polish,1,Consumer Products: Wood Floor Wax/Polish,weak/false positive
C_drop,wood/biomass,consumer products: woodworking glues,1,Consumer Products: Woodworking Glues,weak/false positive
C_drop,wood/biomass,draft wood product sanding,1,Draft Wood Product Sanding - Simplified,weak/false positive
C_drop,wood/biomass,flat wood coating,1,Flat Wood Coating,weak/false positive
C_drop,wood/biomass,fly ash,1,Fly Ash,weak/false positive
C_drop,wood/biomass,outdoor hydronic heater,1,Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust,residential/heating; transport exhaust
C_drop,wood/biomass,outdoor wood,1,Outdoor Wood-fired Boiler - Hardwood Pellets from Sawdust,residential/heating
C_drop,wood/biomass,pulp and paper industry,1,Pulp and Paper Industry - Plywood Veneer Dryer,weak/false positive
C_drop,wood/biomass,wood furniture coating,1,Wood Furniture Coating,weak/false positive
C_drop,wood/biomass,wood operation,1,Wood Operation - Resawing,weak/false positive
